param_name,param_value,dataset,fold,classic_acc,classic_mcc,classic_prauc,classic_nodes,classic_depth,metacog_acc,metacog_mcc,metacog_prauc,metacog_nodes,metacog_depth,ratio_nodes
alpha_0,0.0,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
alpha_0,0.0,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
alpha_0,0.0,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
alpha_0,0.0,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
alpha_0,0.5,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
alpha_0,0.5,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
alpha_0,0.5,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
alpha_0,0.5,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
alpha_0,1.0,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
alpha_0,1.0,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
alpha_0,1.0,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
alpha_0,1.0,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
alpha_0,1.5,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
alpha_0,1.5,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
alpha_0,1.5,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
alpha_0,1.5,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
beta_0,0.0,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
beta_0,0.0,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
beta_0,0.0,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
beta_0,0.0,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
beta_0,0.5,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
beta_0,0.5,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
beta_0,0.5,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
beta_0,0.5,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
beta_0,1.0,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
beta_0,1.0,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
beta_0,1.0,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
beta_0,1.0,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
beta_0,1.5,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
beta_0,1.5,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
beta_0,1.5,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
beta_0,1.5,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
gamma,0.0,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
gamma,0.0,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
gamma,0.0,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
gamma,0.0,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
gamma,0.2,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
gamma,0.2,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
gamma,0.2,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
gamma,0.2,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
gamma,0.5,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
gamma,0.5,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
gamma,0.5,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
gamma,0.5,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
gamma,0.8,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
gamma,0.8,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
gamma,0.8,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
gamma,0.8,iris,1.0,0.9777777777777779,0.9686868915129776,,14.333333333333334,6.333333333333333,0.3333333333333333,0.0,,1.0,1.0,0.06976744186046512
lambda_1,0.0,balance-scale,1.0,0.7671957671957671,0.6161560612612534,,159.0,14.0,0.4603174603174603,0.0,,1.0,1.0,0.006289308176100629
lambda_1,0.0,breast-w,1.0,0.9380952380952382,0.8627280228451526,0.8835042976347324,60.333333333333336,13.0,0.6571428571428571,0.0,0.3428571428571428,1.0,1.0,0.016574585635359115
lambda_1,0.0,diabetes,1.0,0.7489177489177489,0.44453231250111175,0.6062440162553826,109.66666666666667,21.0,0.6666666666666666,0.09428155562710093,0.38084014750681416,1.6666666666666667,1.3333333333333333,0.015197568389057751
