mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
metacog,0.77,0.5845238095238096,0.5677655677655677,0.6977684775744334,0.8435050602318643,,0.6091778218654392,0.9688042463895442,7,4,4,690.9520626068115,6.148576736450195,nursery,30
classic,0.86,0.8129789272030651,0.7949177188253653,0.7974189783229992,0.8943959261289558,,0.0,0.0,171,86,14,214.3454551696777,11.291027069091797,nursery,31
metacog,0.73,0.54477969348659,0.513745704467354,0.65017964237698,0.816638723397096,,0.5660006396793186,0.9857446452570812,7,4,4,711.7233276367188,5.491971969604492,nursery,31
classic,0.89,0.6877394636015326,0.6788505747126437,0.8378052552598557,0.8795779612988815,,0.0,0.0,169,85,14,208.6400985717773,9.30929183959961,nursery,32
metacog,0.75,0.5653735632183907,0.5503663003663004,0.655454269093357,0.8345454874271699,,0.7241602972577027,0.9335558496760926,5,3,3,571.3534355163574,6.019830703735352,nursery,32
classic,0.95,0.8872126436781609,0.8863491684570701,0.9270044530300332,0.9432394753234966,,0.0,0.0,171,86,15,208.1396579742432,8.345365524291992,nursery,33
metacog,0.77,0.5809386973180076,0.5677655677655677,0.6872801622272904,0.8423629411196313,,0.7392357871353391,0.9414606203926904,5,3,3,584.2890739440918,5.446672439575195,nursery,33
classic,0.91,0.7813697318007663,0.8146213345647656,0.8682757740536906,0.8713298145253224,,0.0,0.0,169,85,12,207.19671249389648,7.77888298034668,nursery,34
metacog,0.77,0.5842911877394636,0.5752123938030984,0.674238137646665,0.85422414210348,,0.628159730208648,0.9463204723062544,7,4,4,698.9908218383789,4.41288948059082,nursery,34
classic,0.89,0.7607758620689655,0.7646001796945193,0.8412442649147763,0.9002961495334232,,0.0,0.0,159,80,13,197.06392288208008,7.495641708374023,nursery,35
metacog,0.78,0.5912356321839081,0.5819444444444444,0.692657760637637,0.854477793377943,,0.6259568109225941,0.9679039197688114,7,4,4,690.7694339752197,4.186153411865234,nursery,35
classic,0.8,0.7729885057471263,0.7348039215686275,0.711835110364756,0.9065483749463492,,0.0,0.0,167,84,12,204.89931106567383,8.337020874023438,nursery,36
metacog,0.77,0.5809386973180076,0.5677655677655677,0.6872801622272904,0.8423629411196313,,0.6535899870509623,0.9569091142305258,5,3,3,595.9129333496094,8.116006851196289,nursery,36
classic,0.92,0.7832854406130269,0.800774068698597,0.8858483102283187,0.875315546080801,,0.0,0.0,177,89,15,215.2392864227295,8.27479362487793,nursery,37
metacog,0.76,0.5706417624521073,0.5515548281505729,0.6841911904275447,0.8341568157075501,,0.7090763374801192,0.981785734126537,7,4,4,799.9045848846436,5.960702896118164,nursery,37
classic,0.93,0.869971264367816,0.8707642393655372,0.8975379962018168,0.9639634751009488,,0.0,0.0,161,81,13,199.57971572875977,3.8559436798095694,nursery,38
metacog,0.82,0.6257183908045977,0.6198979591836734,0.7437674924115062,0.9237380881896426,,0.54029760565094,0.9540436188320466,13,7,5,1420.5303192138672,3.158092498779297,nursery,38
classic,0.87,0.7351190476190477,0.7638127853881278,0.810126566586411,0.8640750915750917,,0.0,0.0,171,86,13,215.3420448303223,7.880687713623047,nursery,39
