mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold,theta_accept,theta_reject,gamma
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.8526962168266516,0.5659558744201101,0.20325470725985334,0.8251385401844719,17,9,8,22228.615760803223,7.377862930297852,adult,0,0.15,0.01,0.0
metacog,0.805,0.5913325804630153,0.6010434248887525,0.3371846188159856,0.7637634105025409,0.46100790513833995,0.44062217910693524,0.8797266491742846,7,4,4,13606.504678726196,5.506277084350586,adult,1,0.15,0.01,0.0
metacog,0.8,0.5652173913043478,0.5579133510167993,0.32177789389368455,0.7643280632411067,0.48775257298886787,0.23414150369523062,0.8540920656312319,13,7,5,14892.73977279663,5.388498306274414,adult,2,0.15,0.01,0.0
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.8018068887634104,0.5049458908782878,0.2326180300127681,0.8406603383318082,19,10,8,17142.207860946655,5.645751953125,adult,3,0.15,0.01,0.0
metacog,0.79,0.5511010728402033,0.5358090185676393,0.2521289991115018,0.8025832862789386,0.5020017468283223,0.18768643195424034,0.8625809138503989,17,9,8,17551.233768463135,5.815267562866211,adult,4,0.15,0.01,0.0
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9973710865078222,1,1,1,274.2793560028076,0.3921985626220703,iris,0,0.15,0.01,0.1
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9970757773947009,1,1,1,289.8895740509033,0.39267539978027344,iris,1,0.15,0.01,0.1
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9977269338811082,1,1,1,291.35823249816895,0.7481575012207031,iris,2,0.15,0.01,0.1
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9961780853484691,1,1,1,270.09010314941406,0.6747245788574219,iris,3,0.15,0.01,0.1
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,0.8413882683090157,0.9971051500737994,1,1,1,282.2091579437256,0.3662109375,iris,4,0.15,0.01,0.1
metacog,1.0,1.0,1.0,1.0,1.0,,0.2850215115593363,0.9703851012969208,7,4,3,6690.041780471802,1.1453628540039062,wine,0,0.15,0.01,0.1
metacog,0.9444444444444444,0.9523809523809524,0.9440559440559441,0.9209401941068135,0.9810855810855811,,0.09676720274524803,0.992956148927088,9,5,5,7488.26789855957,0.5872249603271484,wine,1,0.15,0.01,0.1
metacog,0.6111111111111112,0.6,0.5185185185185185,0.5167423893288018,0.7494949494949495,,0.3774030947679678,0.9761711209664234,5,3,3,4400.4881381988525,1.0528564453125,wine,2,0.15,0.01,0.1
