mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
classic,0.7575757575757576,0.61,0.5788344988344989,0.6696650768339029,,,0.0,0.0,89,45,17,475.0070571899414,4.052877426147461,ecoli,18
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0047796763198625,0.9968533504934236,1,1,1,1373.6040592193604,1.5859603881835938,ecoli,18
classic,0.8484848484848485,0.8575396825396825,0.8473985890652557,0.7950621166543902,,,0.0,0.0,85,43,17,464.2503261566162,4.880905151367188,ecoli,19
metacog,0.4242424242424242,0.1666666666666666,0.0992907801418439,0.0,,,0.2191968758692402,0.9973954311100318,1,1,1,1366.5690422058103,1.531362533569336,ecoli,19
classic,0.7647058823529411,0.5843537414965987,0.599234693877551,0.6691760781400711,,,0.0,0.0,87,44,16,425.5905151367188,4.551887512207031,ecoli,20
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.0810976022621344,0.9980107865789138,1,1,1,1296.51141166687,1.584768295288086,ecoli,20
classic,0.7058823529411765,0.5789115646258504,0.508736559139785,0.5967036586889559,,,0.0,0.0,83,42,16,474.3118286132813,4.198312759399414,ecoli,21
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.0805074323151178,0.9952211136589229,1,1,1,1311.5355968475342,1.577138900756836,ecoli,21
classic,0.8235294117647058,0.6877551020408162,0.6435374149659863,0.7640096517285635,,,0.0,0.0,87,44,16,436.42258644104,4.455327987670898,ecoli,22
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.1730742155163041,0.995963224695934,1,1,1,1311.946153640747,1.5499591827392578,ecoli,22
classic,0.8529411764705882,0.7903061224489797,0.7722786820531182,0.8105268701666477,,,0.0,0.0,93,47,18,483.5562705993652,4.453659057617188,ecoli,23
metacog,0.4117647058823529,0.1428571428571428,0.0833333333333333,0.0,,,0.3597192750496343,1.0,1,1,1,1328.7575244903564,1.548051834106445,ecoli,23
classic,0.6470588235294118,0.4547619047619047,0.4131362889983579,0.5061415674847742,,,0.0,0.0,71,36,15,414.2167568206787,4.125356674194336,ecoli,24
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.1338894902851101,0.9967505034352638,1,1,1,1334.6161842346191,1.5761852264404297,ecoli,24
classic,0.8235294117647058,0.725,0.7533333333333333,0.754826930462649,,,0.0,0.0,85,43,17,443.3360099792481,4.193782806396484,ecoli,25
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.0755627346984139,0.9986290495284416,1,1,1,1327.0940780639648,2.022981643676758,ecoli,25
classic,0.9090909090909092,0.8357142857142857,0.8459794018617547,0.8764338321507466,,,0.0,0.0,83,42,18,448.3563899993897,4.26173210144043,ecoli,26
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0805074323151177,0.9969360045347776,1,1,1,1294.1710948944092,1.5659332275390625,ecoli,26
classic,0.9090909090909092,0.85,0.8533333333333333,0.8773953515686216,,,0.0,0.0,95,48,18,491.6069507598877,4.738330841064453,ecoli,27
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0551681167721614,0.9960488909144544,1,1,1,1341.0110473632812,2.054929733276367,ecoli,27
classic,0.8484848484848485,0.7849999999999999,0.7886590038314176,0.7922612424747552,,,0.0,0.0,91,46,17,498.3036518096924,4.127979278564453,ecoli,28
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0453190138204208,0.9931667651374104,1,1,1,1322.005271911621,1.8491744995117188,ecoli,28
classic,0.8484848484848485,0.8361111111111109,0.8119047619047618,0.7954570817338469,,,0.0,0.0,91,46,18,465.033769607544,4.168987274169922,ecoli,29
metacog,0.4242424242424242,0.1666666666666666,0.0992907801418439,0.0,,,0.1450597142205033,0.9964974724387412,1,1,1,1343.1532382965088,2.54511833190918,ecoli,29
classic,0.8823529411764706,0.7523809523809524,0.7356583072100313,0.8424916980023686,,,0.0,0.0,85,43,17,454.0901184082031,2.588033676147461,ecoli,30
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.077591455851511,0.995087586603791,1,1,1,1303.114652633667,1.6546249389648438,ecoli,30
classic,0.7941176470588235,0.6401360544217687,0.6774891774891776,0.7162945674022368,,,0.0,0.0,83,42,16,437.9327297210693,4.329919815063477,ecoli,31
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.0331429616349425,0.9965906447189208,1,1,1,1327.0378112792969,1.5816688537597656,ecoli,31
classic,0.7941176470588235,0.6673469387755101,0.6135735232509426,0.7307807965725068,,,0.0,0.0,85,43,15,440.6747817993164,4.230499267578125,ecoli,32
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.1806105754711386,0.9961194949460268,1,1,1,1333.2257270812988,1.5249252319335938,ecoli,32
classic,0.8823529411764706,0.7095238095238094,0.7396825396825396,0.841840966947966,,,0.0,0.0,91,46,18,487.5802993774414,4.866600036621094,ecoli,33
metacog,0.4117647058823529,0.1428571428571428,0.0833333333333333,0.0,,,0.1282076843554628,1.0,1,1,1,1306.7162036895752,1.5716552734375,ecoli,33
classic,0.8529411764705882,0.7916666666666667,0.7894017094017094,0.8021152468288586,,,0.0,0.0,93,47,17,467.9811000823975,4.043817520141602,ecoli,34
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.0442809273884529,0.9961594144105932,1,1,1,1315.9410953521729,1.6241073608398438,ecoli,34
classic,0.7941176470588235,0.8107142857142857,0.7871861471861472,0.7303988744606216,,,0.0,0.0,81,41,17,400.7465839385986,3.868579864501953,ecoli,35
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.1826319773725717,0.9959824126847436,1,1,1,1322.75652885437,1.3518333435058594,ecoli,35
classic,0.8484848484848485,0.8307142857142857,0.7953937130407718,0.7964913660803873,,,0.0,0.0,87,44,17,458.7211608886719,4.051923751831055,ecoli,36
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.115476202610116,0.9988613748068332,1,1,1,1361.322641372681,1.497507095336914,ecoli,36
classic,0.6666666666666666,0.5814285714285715,0.5908547008547008,0.5463826228479869,,,0.0,0.0,75,38,16,417.6785945892334,3.76749038696289,ecoli,37
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0321959768678541,0.9959727952366256,1,1,1,1341.254711151123,1.451730728149414,ecoli,37
classic,0.7272727272727273,0.7314285714285715,0.6203703703703703,0.6299457878589391,,,0.0,0.0,95,48,18,520.7500457763672,4.04667854309082,ecoli,38
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0127706401988912,0.9975280503821896,1,1,1,1340.0044441223145,0.7879734039306641,ecoli,38
classic,0.9090909090909092,0.6944444444444443,0.7181286549707601,0.8790216382818705,,,0.0,0.0,83,42,15,388.7827396392822,3.0319690704345703,ecoli,39
metacog,0.4242424242424242,0.1666666666666666,0.0992907801418439,0.0,,,0.0938660533357759,0.9986093938644012,1,1,1,1344.167947769165,2.7256011962890625,ecoli,39
classic,0.8529411764705882,0.7482993197278912,0.725108225108225,0.803805562291258,,,0.0,0.0,85,43,16,426.55086517333984,4.035234451293945,ecoli,40
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.1193376355038131,0.9974303290346078,1,1,1,1361.891269683838,0.996112823486328,ecoli,40
classic,0.8529411764705882,0.5748299319727891,0.581547619047619,0.7946286190547776,,,0.0,0.0,83,42,16,406.8803787231445,4.256725311279297,ecoli,41
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.0530612096706595,0.9953887183603574,1,1,1,1323.739528656006,1.5702247619628906,ecoli,41
classic,0.7941176470588235,0.6591836734693877,0.6192283906569621,0.7202401367379748,,,0.0,0.0,85,43,16,420.975923538208,3.976106643676758,ecoli,42
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.0961450798131282,0.9966630149326484,1,1,1,1328.2952308654783,0.910043716430664,ecoli,42
classic,0.7941176470588235,0.7324829931972789,0.7247374847374848,0.7369078700976541,,,0.0,0.0,91,46,17,434.5588684082031,4.349470138549805,ecoli,43
metacog,0.4117647058823529,0.1428571428571428,0.0833333333333333,0.0,,,0.3379970921172543,1.0,1,1,1,1276.43084526062,1.519918441772461,ecoli,43
classic,0.8529411764705882,0.8523809523809524,0.7311713191023536,0.7990522087038069,,,0.0,0.0,85,43,18,389.21618461608887,2.239704132080078,ecoli,44
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.0550599339108831,0.9973308906503752,1,1,1,928.9655685424804,1.57928466796875,ecoli,44
classic,0.8823529411764706,0.8583333333333334,0.8347058823529411,0.8414785476487038,,,0.0,0.0,91,46,20,386.8231773376465,2.2459030151367188,ecoli,45
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.112719516779227,0.9922269348705,1,1,1,943.5877799987792,0.8146762847900391,ecoli,45
classic,0.8181818181818182,0.71,0.6388110799875505,0.7522356070944951,,,0.0,0.0,89,45,17,362.290620803833,1.9063949584960933,ecoli,46
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0419909584593596,1.0,1,1,1,914.466381072998,0.7760524749755859,ecoli,46
classic,0.8181818181818182,0.745,0.7513725490196078,0.7452202951432142,,,0.0,0.0,85,43,16,361.1762523651123,3.888368606567383,ecoli,47
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0088864681099332,0.99968494559529,1,1,1,954.4394016265868,0.7581710815429688,ecoli,47
classic,0.8181818181818182,0.71,0.756041986687148,0.7438849587457944,,,0.0,0.0,83,42,17,342.1728610992432,2.526283264160156,ecoli,48
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0586454941868433,0.9964658938365508,1,1,1,903.541088104248,0.8425712585449219,ecoli,48
classic,0.9090909090909092,0.7791666666666667,0.7644248312351761,0.8752833914276938,,,0.0,0.0,87,44,17,323.75097274780273,1.8455982208251955,ecoli,49
metacog,0.4242424242424242,0.1666666666666666,0.0992907801418439,0.0,,,0.131630169839149,0.9958066742301488,1,1,1,941.8635368347168,0.8461475372314453,ecoli,49
classic,0.7272727272727273,0.6636904761904762,0.6581349206349206,0.6255706788926998,0.8200684001670844,,0.0,0.0,77,39,18,751.3163089752197,1.278400421142578,glass,0
metacog,0.3636363636363636,0.1666666666666666,0.0888888888888888,0.0,0.5,,0.4350340746021818,0.9887882731099982,1,1,1,2482.1925163269043,0.5810260772705078,glass,0
classic,0.5454545454545454,0.5982142857142857,0.5644841269841271,0.3977850646575493,0.7369543650793652,,0.0,0.0,81,41,19,776.9310474395752,3.4437179565429688,glass,1
metacog,0.3636363636363636,0.1666666666666666,0.0888888888888888,0.0,0.5,,0.243596105192625,0.9736303067219456,1,1,1,2455.122947692871,1.0530948638916016,glass,1
classic,0.7272727272727273,0.6785714285714285,0.6369047619047619,0.6464976477899578,0.8088868003341686,,0.0,0.0,75,38,18,702.4824619293213,2.5615692138671875,glass,2
metacog,0.3181818181818182,0.1666666666666666,0.0804597701149425,0.0,0.5,,0.3188385463886163,0.9766577793215336,1,1,1,2439.164161682129,1.2383460998535156,glass,2
classic,0.5454545454545454,0.6706349206349206,0.5969696969696969,0.4263117620081588,0.7995822890559734,,0.0,0.0,75,38,20,843.5025215148926,2.661466598510742,glass,3
metacog,0.3181818181818182,0.1666666666666666,0.0804597701149425,0.0,0.5,,0.4206530370481822,0.9926430711969184,1,1,1,2501.720666885376,1.1098384857177734,glass,3
classic,0.6190476190476191,0.5476190476190476,0.5396825396825397,0.4798648895858737,0.7291890440386681,,0.0,0.0,79,40,21,806.0662746429443,2.486705780029297,glass,4
metacog,0.3333333333333333,0.1666666666666666,0.0833333333333333,0.0,0.5,,0.2152099304707785,0.9947524835358168,1,1,1,2527.4581909179688,0.9963512420654296,glass,4
classic,0.8095238095238095,0.8452380952380952,0.8472222222222223,0.7531438174453121,0.9003759398496242,,0.0,0.0,77,39,16,698.0645656585693,2.483606338500977,glass,5
metacog,0.3333333333333333,0.1666666666666666,0.0833333333333333,0.0,0.5,,0.4241981786981839,0.9921872463016188,1,1,1,2508.1329345703125,1.3763904571533203,glass,5
classic,0.7142857142857143,0.8011904761904762,0.7138461538461538,0.6175781727818336,,,0.0,0.0,77,39,18,728.4598350524902,2.443552017211914,glass,6
metacog,0.4761904761904761,0.3333333333333333,0.2564102564102564,0.3095267259142604,,,0.2385590770708819,0.9852908267315824,3,2,2,5032.141447067261,1.2373924255371094,glass,6
classic,0.6666666666666666,0.8105158730158729,0.8263888888888888,0.5306152037168628,0.8694782400139544,,0.0,0.0,75,38,19,770.1132297515869,2.623319625854492,glass,7
metacog,0.3809523809523809,0.1666666666666666,0.0919540229885057,0.0,0.5,,0.3633156391173693,0.9927933361697652,1,1,1,2552.797079086304,1.027822494506836,glass,7
classic,0.7142857142857143,0.6567460317460317,0.5916666666666667,0.6085704159843245,0.7920111634397348,,0.0,0.0,87,44,21,810.0399971008301,2.7565956115722656,glass,8
metacog,0.3809523809523809,0.1666666666666666,0.0919540229885057,0.0,0.5,,0.2110036867482539,0.998238760190717,1,1,1,2513.4739875793457,1.0836124420166016,glass,8
