mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
classic,0.82,0.7494505494505495,0.7716894977168949,0.6065768774742287,0.9015384615384616,0.7960498029241316,0.0,0.0,77,39,21,67482.25808143616,12.835979461669922,MagicTelescope,10
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0417189929394044,0.946805761403543,1,1,1,403928.2810688019,4.304409027099609,MagicTelescope,10
classic,0.74,0.6483516483516484,0.6533333333333333,0.3963309423975692,0.7503296703296704,0.6208357027021335,0.0,0.0,77,39,21,61521.45791053772,12.670278549194336,MagicTelescope,11
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0159292394737089,0.9726863089703852,1,1,1,365473.6750125885,4.175901412963867,MagicTelescope,11
classic,0.79,0.7395604395604396,0.7523292841136926,0.5209946499548523,0.7881318681318681,0.6582319541432842,0.0,0.0,85,43,21,66357.2633266449,13.586044311523438,MagicTelescope,12
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0691767034765872,0.9482746036357445,1,1,1,363327.7137279511,4.414558410644531,MagicTelescope,12
classic,0.74,0.654945054945055,0.6621621621621622,0.3934910961078766,0.709010989010989,0.572480705002634,0.0,0.0,83,42,21,65591.2606716156,13.549089431762695,MagicTelescope,13
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0242255529573228,0.9368522675006228,1,1,1,374821.346282959,4.235982894897461,MagicTelescope,13
classic,0.68,0.589010989010989,0.5841995841995842,0.2260480764875036,0.7037362637362637,0.5341262707330123,0.0,0.0,81,41,21,63434.2200756073,12.955904006958008,MagicTelescope,14
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0098204159231035,0.9925592569177611,1,1,1,364665.98081588745,4.157304763793945,MagicTelescope,14
classic,0.78,0.7186813186813187,0.7328800388538126,0.4957047718940179,0.7628571428571429,0.6302241791510986,0.0,0.0,89,45,21,62518.18919181824,12.396574020385742,MagicTelescope,15
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.2561367758347762,0.993187731619094,1,1,1,375244.8465824127,4.219532012939453,MagicTelescope,15
classic,0.76,0.661319073083779,0.6710526315789473,0.440467527420641,0.8137254901960784,0.6559059687704869,0.0,0.0,79,40,21,63268.61667633057,14.523744583129885,MagicTelescope,16
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0725436109670727,0.9336099341834572,1,1,1,362471.27199172974,4.653215408325195,MagicTelescope,16
classic,0.79,0.7268270944741533,0.7423629002576371,0.5106543915352408,0.8184046345811052,0.7018200717718175,0.0,0.0,85,43,21,62802.90985107422,13.56363296508789,MagicTelescope,17
